1, 0.7, 0.1, 0.4, 0.05, 0.1, 0
1025, 16.4, 0.4, 0.817251, 0.122904, 0, 0
2049, 121.8, 9.6, 1.61898, 0.139951, 0, 0
3073, 382.4, 2, 2.5498, 0.141574, 0, 0
4097, 122.6, 157.1, 3.27413, 0.192509, 0, 0
5121, 508.8, 24, 4.12601, 0.15654, 0, 0
6145, 103.5, 10.3, 4.71098, 0.152278, 0, 0
7169, 204.4, 8.2, 5.45639, 0.154826, 0, 0
8193, 454.9, 187.6, 6.35248, 0.185624, 0, 0
9217, 320, 19.5, 7.21437, 0.164819, 0, 0
10241, 262.3, 51.5, 7.87932, 0.175932, 0, 0
11265, 607.4, 52.2, 8.83667, 0.186588, 0, 0
12289, 1090.7, 53.2, 9.79188, 0.183922, 0, 0
13313, 617, 44.4, 10.4402, 0.193511, 0, 0
14337, 265.2, 24.9, 11.2487, 0.18686, 0, 0
15361, 347.1, 330.6, 11.8948, 0.213872, 0, 0
16385, 349.1, 22, 12.8227, 0.192103, 0, 0
17409, 5153.8, 55.3, 13.7453, 0.191861, 0, 0
18433, 325.8, 61.5, 14.1525, 0.194689, 0, 0
19457, 532.6, 27.5, 14.9977, 0.190842, 0, 0
20481, 461.7, 73.8, 16.0774, 0.203174, 0, 0
21505, 470.8, 141.1, 16.7962, 0.213615, 0, 0
22529, 1104, 71.4, 18.0922, 0.221882, 0, 0
23553, 1577.1, 225.2, 19.0585, 0.226416, 0, 0
24577, 468.3, 54.8, 19.0919, 0.202669, 0, 0
25601, 808.3, 93.5, 19.8303, 0.208574, 0, 0
26625, 483.5, 105, 20.5081, 0.21034, 0, 0
27649, 1524.9, 58, 21.3481, 0.207132, 0, 0
28673, 399.8, 83.5, 22.1742, 0.210578, 0, 0
29697, 1520.4, 120.1, 23.0966, 0.219459, 0, 0
30721, 395.5, 87.5, 23.6786, 0.216246, 0, 0
31745, 366.4, 56, 24.4611, 0.21271, 0, 0
32769, 694.5, 61.6, 25.261, 0.21707, 0, 0.1
33793, 1249.2, 36.6, 26.0683, 0.215742, 0, 0
34817, 701.3, 42.5, 26.8275, 0.214056, 0, 0
35841, 1299.5, 196.5, 27.5697, 0.218819, 0, 0
36865, 590.7, 132.7, 28.4104, 0.222354, 0, 0
37889, 1497.9, 140.3, 29.9316, 0.235553, 0, 0
38913, 2355.7, 105.3, 30.7472, 0.23416, 0, 0
39937, 939.9, 67.5, 30.2268, 0.213952, 0, 0
40961, 1209, 39.1, 31.3676, 0.22226, 0, 0
41985, 428.9, 69.3, 31.48, 0.201362, 0, 0
43009, 2189.2, 56.5, 32.9817, 0.217826, 0, 0
